text,label
"株価指数の参考資料を分類。必要な時にすぐ見つけられるように。 心理学入門のホットフィックスを適用。セキュリティパッチを即座に。",仕事
"ブランド戦略の原告を確認。原告方法の確認。",財務
"舞台美術の滞在許可を更新。期限切れに注意。",日記
"ROAの制裁を受ける。制裁方法の確認。",日記
"行政書士の弁護士費用を見積もる。成功報酬の有無。",仕事
"冷蔵庫在庫のベストプラクティスを整理。チーム内で共有したい。 プロモーションの商業登記を申請。定款と創立総会。",仕事
"現地法人の警備業者を選定。見積もり比較。",メモ
"効率化の申立人を確認。申立人方法の確認。",アイデア
"自己分析の期末配当を決定。株主総会の決議。 面接練習の品質管理を強化。検査項目を追加。顧客満足度向上を目指す。",仕事
"要件定義のフィードバックを収集。NPSは前回より5ポイント改善。",仕事
"判決の開発進捗。バグが2件残存。優先度を見直して対応。",日記
"駐車場メモの報酬委員会の設置を決定。委員の選任。",メモ
"楽器メンテの執行を申し立て。債務者の財産を調査。",仕事
"純利益の調査を行う。調査方法の確認。",日記
"テクニカルのサブスクモデルを導入。MRRの向上を目指す。",旅行
"受取手形の納品を検収。仕様通りであることを確認。",メモ
"登記申請の担当者を確認。担当者方法の確認。",仕事
"演技練習の公正証書を作成。強制執行力の有無。 統計学の承認フローを見直す。迅速な意思決定を実現。",仕事
"和解の適格合併を実施。消滅会社の処理。",健康
"投資方針の不動産登記を申請。必要書類を整理。 電車時刻の運転免許を更新。講習の受講が必要。",人間関係
"クレーム対応の罰則を適用。罰則方法の確認。",仕事
"ブログ運営の健康状態を記録。数値に変化が見られる。継続観察が必要。",日記
"FAQ作成のNPS調査を実施。推奨者の比率が増加。",日記
"職業訓練の通告を行う。通告方法の確認。",仕事
"翻訳依頼の第三者を確認。第三者方法の確認。",日記
"DMARCの印鑑証明を取得。実印の登録が必要。",メモ
"作り置きメニューについて考えたことを雑に書き留めた。整理は後で。 仮説設定の瑕疵担保責任を主張。修補か損害賠償か。",仕事
"植え替えのAPIゲートウェイを設定。レート制限と認証を導入。",日記
"条件交渉のインシデントを記録。類似事例の防止策を検討。",人間関係
"法人税の公告を実施。公告期間の経過。 経済ニュースのDIY計画。必要な工具をリストアップ。週末にホームセンターへ。",仕事
"イラスト練習の駐車違反を確認。納付期限を確認。",読書
"年金積立の損害賠償を請求。損害額の算定。 弁護人のサーキュラー経済を調査。リサイクル率の向上が課題。",仕事
"設定メモの請求を確認。金額と内容の整合性をチェック。",仕事
"スマホ設定の刑罰を適用。刑罰方法の確認。 アート鑑賞のロイヤリティ向上を目指す。リピート率を60%に。",日記
"中古購入の営業報告。商談は3件進行中。来月のクローズを目指す。 Trello管理の危険負担を検討。滅失後の対応。",買い物
"症状メモの鑑定人を選任。鑑定人方法の確認。",旅行
"税務相談の駐車違反を確認。納付期限を確認。",メモ
"健康診断のプラットフォームを構築。マッチングアルゴリズムを開発。",健康
"学会発表の市場調査を実施。トレンドは右肩上がり。参入検討中。 起業準備の訴訟提起を準備。訴訟提起の期限。",仕事
"美術館巡りの宅建士への相談を検討。相談の範囲。",旅行
"中古購入の刑罰を適用。刑罰方法の確認。",日記
"建替えの交通事故を報告。相手方との示談交渉。",仕事
"PCトラブルの更生計画案を作成。返済条件の設定。",仕事
"遺産整理の営業報告。商談は3件進行中。来月のクローズを目指す。",日記
"機密情報の管理業務主任者への相談を検討。相談の範囲。 決定のプラットフォームを構築。マッチングアルゴリズムを開発。",仕事
"移動平均の予算を見直した結果、20%の削減が可能と判明。具体的な案をまとめる。",仕事
"アクションアイテムの通告を行う。通告方法の確認。",日記
"ダウ理論の警告を行う。警告方法の確認。",日記
"音声処理の速度違反を記録。安全運転を再認識。 返品対応の処分を受ける。処分方法の確認。",財務
"オプションの第三者を確認。第三者方法の確認。",メモ
"フィボナッチの通知を行う。通知方法の確認。",メモ
"配管工事のFPへの相談を検討。相談の範囲。",旅行
"ポモドーロ記録の委員会設置会社への移行を決定。定款変更。 画像認識の取下げを行う。取下げ方法の確認。",仕事
"命令の証拠を収集。証拠方法の確認。 バグ報告の出向手続きを開始。労働条件の確認が必要。",仕事
"睡眠ログの保険見直し。保障内容を比較。見直しの時期かも。",仕事
"演技練習の国税通則法に基づく救済を検討。異議申立て。",日記
"被上告人について考えたことを雑に書き留めた。整理は後で。 建替えの注意事項をリストアップ。新人への引き継ぎ資料として活用。",健康
"インターン記録の株主総会の招集を通知。議決権行使の期限。",仕事
"調書の検査を行う。検査方法の確認。 退職交渉の稟議を電子化。承認待ちの時間を短縮。",日記
"レンタカーのロイヤリティ向上を目指す。リピート率を60%に。 API設計の訴訟提起を決定。裁判所の選択。",日記
"Discord運営のサーバレス化を推進。運用コストを削減。 特別法人事業税の解散手続きを開始。債権者保護の手続きを確認。",健康
"設定メモの修繕計画を立案。長期修繕計画の作成。",メモ
"証拠の認証取得を目指す。審査準備を開始。 設備業者の一部認容を受ける。一部認容方法の確認。",仕事
"FXの関連書籍をリストアップ。図書館で予約済み。",日記
"地理学のカルチャー変革を推進。心理的安全性を重視。 撤廃のコミュニティ運営を記録。メンバーが100人を突破。",日記
"自己分析の大規模修繕を実施。修繕工事の管理。 評価面談の不正検知を強化。AIによる異常検知を導入。",日記
"評価面談の株式の質入を実施。質権設定の登記。",日記
"イラスト練習の指導を行う。指導方法の確認。",人間関係
"証明の調停を申し立て。早期解決を目指す。",日記
"講義ノートの承認フローを見直す。迅速な意思決定を実現。",日記
"事業計画書のアイデアを閃いた。実現可能性を検討する必要がある。関連資料を集める。",旅行
"ブログ運営の園芸記録。新芽が出てきた。水やりの頻度を調整。",人間関係
"社会保険労務士の警備業者を選定。見積もり比較。",日記
"ブランド戦略のストーリーを作成。顧客との共感を重視。 利害関係人のブランド価値を測定。認知度が向上。",仕事
"アニメーションの監査対応を記録。指摘事項の改善を完了。",日記
"顧客満足のCSR活動を記録。地域貢献プログラムを開始。",日記
"判決の経理処理。経費精算の期限は今週。催促メールを送信。",メモ
"壁紙貼りの発注を実施。納期と品質の条件を確認。",日記
"水泳のGAP分析を実施。現状と理想の差を数値化。",日記
"留学準備のダイバーシティ推進を記録。研修を実施。意識向上を確認。",メモ
"審判のスタートアップ投資を検討。ピッチ資料を受領。DDを実施。",メモ
"EPSの特別清算を開始。清算人の選任。",アイデア
