text,label
"牛乳と卵とパンを買ってきて","買い物"
"Amazonで本を注文する","買い物"
"新しいコートを買いたい","買い物"
"洗剤のストックがないから購入","買い物"
"帰りにドラッグストアに寄る","買い物"
"来週のプロジェクト計画を立てる","仕事"
"明日までに資料を提出する必要がある","仕事"
"クライアントとのMTGを設定","仕事"
"タスクリストを整理して優先順位をつける","仕事"
"請求書を送らなければならない","仕事"
"今日は友達とランチした","日記"
"とても楽しい一日だった","日記"
"悲しいニュースを見て考えさせられた","日記"
"今日の天気は雨で寒かった","日記"
"久しぶりに家族に電話した","日記"
"走ることについての本を読んでいる","読書"
"村上春樹の小説を読み終えた","読書"
"この漫画の最新刊を買った","読書"
"読書メモ: 第3章まで読了","読書"
"来月発売の新刊を予約した","読書"
"来月京都に旅行に行く計画","旅行"
"飛行機のチケットを予約した","旅行"
"ホテルの宿泊プランを比較中","旅行"
"新幹線の時刻表を調べる","旅行"
"観光スポットのリストアップ","旅行"
"明日病院に行って検査を受ける","健康"
"毎日30分運動する習慣をつける","健康"
"今週の食事メニューを考える","健康"
"睡眠時間を7時間確保する","健康"
"ジムの会員更新を忘れずに","健康"
"今月の家計簿をまとめる","財務"
"クレジットカードの支払い日を確認","財務"
"投資信託の運用状況をチェック","財務"
"銀行の口座残高を確認","財務"
"来月の予算を立てる","財務"
"友達の結婚式に出席する","人間関係"
"彼女の誕生日プレゼントを考える","人間関係"
"親に久しぶりに連絡する","人間関係"
"同僚とランチに行く約束","人間関係"
"LINEでグループのやりとりを確認","人間関係"
"新しいアプリのアイデアが浮かんだ","アイデア"
"企画書の構成を考える","アイデア"
"スタートアップの事業計画案","アイデア"
"新しいレシピを試してみたい","アイデア"
"週末にDIYで棚を作る計画","アイデア"
ちょっとしたメモ書き","メモ"
"何となく思ったことを書き留める","メモ"
"駅のホームで見かけた広告","メモ"
"今日のランチはカレーだった","メモ"
"明日の天気予報を確認すること","メモ"

